Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
,,,,,,,,,"Marina Garcés","[Barcelona, 1973](https://www.marinagarces.com/p/intro.html). És filòsofa i després de 15 anys com a professora titular de filosofia a la Universitat de Saragossa, actualment és professora a la Universitat Oberta de Catalunya, on dirigeix el Màster de filosofia pels reptes contemporanis i el grup de recerca MUSSOL.<br>[Llibres / Books](https://www.marinagarces.com/p/publicaciones.html)",media/bmg.jpeg,,,,title,,
2002,,,,,,,,,"En las prisiones de lo posible","[En las prisiones de lo posible](https://www.bellaterra.coop/es/libros/en-las-prisiones-de-lo-posible), Barcelona, Edicions Bellaterra, 2002",https://www.bellaterra.coop/images/Articulos/enlasprisiones.gif,,,,,,
2013,,,,,,,,,"Un mundo común","[Un mundo común](https://www.bellaterra.coop/es/libros/un-mundo-comun), Barcelona, Edicions Bellaterra, 2013",https://www.bellaterra.coop/images/Articulos/SGU_281_MUNDO_COMUN_Coberta---copia.jpg,,,,,,
2013,,,,,,,,,"El compromís","[El compromís / Commitment](https://www.cccb.org/es/publicaciones/ficha/64-el-compromis-commitment/45217), Col·lecció Breus, CCCB, 2013",https://www.cccb.org/rcs_gene/El-compromis_1.jpg,,,,,,
2015,,,,,,,,,"Filosofia inacabada","[Filosofía inacabada](https://www.galaxiagutenberg.com/producto/filosofia-inacabada-2/), Barcelona, Galaxia Gutenberg, 2015",https://www.galaxiagutenberg.com/wp-content/uploads/2017/08/Cub_Filosofia-inaca192575E.jpg,,,,,,
2016,,,,,,,,,"Fora de classe","[Fora de classe. Textos de filosofia de guerrilla](http://www.arcadia-editorial.com/llibre.php?id=62), Arcàdia Ed., 2016 ",https://www.arcadia-editorial.com/wp-content/uploads/2018/06/978-84-944680-7-0-634x1024.jpg,,,,,,
2016,,,,,,,,,"Humanitats en transició","[Humanitats en transició / Humanities in transition](https://www.cccb.org/ca/publicacions/fitxa/80-humanitats-en-transicio-humanities-in-transition/228091), Col·lecció Breus, CCCB, 2016",https://www.cccb.org/rcs_gene/port.2017_CCCB-_GARCES.jpg,,,,,,
2017,,,,,,,,,"Nova il·lustració radical","[Nova il·lustració radical](https://www.anagrama-ed.es/libro/nuevos-cuadernos-anagrama/nova-il-lustracio-radical/9788433916150/NCA_5) / [Nueva ilustración radical](https://www.anagrama-ed.es/libro/nuevos-cuadernos-anagrama/nueva-ilustracion-radical/9788433916143/NCA_4), Anagrama, 2017",https://www.anagrama-ed.es/uploads/media/portadas/0001/17/xthumb_16784_portadas_big.jpeg.pagespeed.ic.0-VXzuVV_7.webp,,,,,,
2018,,,,,,,,,"Ciutat princesa","[Ciutat princesa](http://www.galaxiagutenberg.com/libros/ciutat-princesa/) / [Ciudad princesa](http://www.galaxiagutenberg.com/libros/ciudad-princesa/), Galaxia Gutenberg, 2018 ",https://www.galaxiagutenberg.com/wp-content/uploads/2018/04/Cub_Ciutat-Princesa_dilve.jpg,,,,,,
2018,,,,,,,,,"Humanitats en acció","[Humanitats en acció](http://www.raigverdeditorial.cat/cataleg/humanitats-en-accio/) / [Humanidades en acción](http://www.rayoverde.es/catalogo/humanitats-en-accio/) (Libro colectivo) Raig Verd / Rayo Verde",https://www.raigverdeditorial.cat/wp-content/uploads//2019/01/2a_ed_Portada-Humanitats-en-accio-193x300.jpg,,,,,,
