Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
,,,,,,,,,,"Philosophy for Contemporary Challenges: The problem of the social",,,,,title,,
-350,,,,-323,,,,,"Politics. 350-323 B.C.E. Aristotle.",,,,,,"",
1651,,,,,,,,,"Leviathan. 1651. Hobbes T.",,,,,,"",
1689,,,,,,,,,"Two Treatises of Government.1689. Locke J.",,,,,,"",
1755,,,,,,,,,"Second Discourse. 1755. Rousseau J-J.",,,,,,"",
1797,,,,,,,,,"Metaphysics of Morals. 1797. Kant I.",,,,,,"",
1857,,,,1858,,,,,"Grundrisse der Kritik der Politischen Ökonomie. 1857-8. Marx K.",,,,,,"",
1887,,,,,,,,,"Gemeinschaft und Gesellschaft. 1887. Tönnies F.",,,,,,"",
1893,,,,,,,,,"De la division du travail social. 1893. Durkheim E.",,,,,,"",
1908,,,,,,,,,"Soziologie: Untersuchungen Uber Die Formen Der Vergesellschaftung. 1908. Simmel G.",,,,,,"",
1939,,,,1941,,,,,"Grundrisse der Kritik der Politischen Ökonomie. 1939-41. Marx K.",,,,,,"",
